state_code,state_name,district_code,district_name,complex_code,complex_name,court_numbers,flag
28,Andaman and Nicobar,1,Port Blair,1280004,PORT BLAIR COURT COMPLEX,"2,3,4,5",N
2,Andhra Pradesh,2,Ananthapur,1020002,"Court of Senior Civil Judge,, Penukonda (Taluka)","11,12",N
2,Andhra Pradesh,2,Ananthapur,1020003,"II Addl. District Court, Hindupur (Taluka)","16,17,19",N
2,Andhra Pradesh,2,Ananthapur,1020004,"Court of Junior Civil Judge,, Guntakal (Taluka)",20,N
2,Andhra Pradesh,2,Ananthapur,1020005,"Court of Junior Civil Judge,, Uravakonda (Taluka)",6,N
2,Andhra Pradesh,2,Ananthapur,1020006,"Junior Civil Court, Puttaparthy",27,N
2,Andhra Pradesh,2,Ananthapur,1020007,"Court of Senior Civil Judge,, Dharmavaram (Taluka)","14,15",N
2,Andhra Pradesh,2,Ananthapur,1020008,"Court of Senior Civil Judge,, Kadiri (Taluka)","21,22",N
2,Andhra Pradesh,2,Ananthapur,1020009,"Court of Spl. Judl. Magistrate of I Class for Railways, Guntakal (Taluka)",8,N
2,Andhra Pradesh,2,Ananthapur,1020010,"Court of Junior Civil Judge,, Kalyandurg (Taluka)",13,N
2,Andhra Pradesh,2,Ananthapur,1020011,"Court of Junior Civil Judge,, Madakasira (Taluka)",10,N
2,Andhra Pradesh,2,Ananthapur,1020012,"VI Addl. District Judge (FTC) Anantapur at Gooty, Gooty (Taluka)","24,25,26",N
2,Andhra Pradesh,2,Ananthapur,1020013,"Prl. District & Sessions Court, ANANTHAPURAMU (District)","3,2,1,4,5",N
2,Andhra Pradesh,2,Ananthapur,1020014,"Court of Junior Civil Judge,, Rayadurg (Taluka)",9,N
2,Andhra Pradesh,2,Ananthapur,1020015,"Court of Junior Civil Judge,, Tadipatri (Taluka)",7,N
2,Andhra Pradesh,2,Ananthapur,1370109,"POCSO COURT COMPLEX, ANATHAPUR",28,N
2,Andhra Pradesh,3,Chittoor,1020016,"Court of Senior Civil Judge,, Punganur (Taluka)",14,N
2,Andhra Pradesh,3,Chittoor,1020017,"Court of Senior Civil Judge,, Puttur (Taluka)","10,11",N
2,Andhra Pradesh,3,Chittoor,1020018,"III Addl. District Court,, Tirupathi (Taluka)","7,6,5",N
2,Andhra Pradesh,3,Chittoor,1020019,II Addl District Court Madanapalle,"18,19,20",N
2,Andhra Pradesh,3,Chittoor,1020021,"Court of Junior Civil Judge,, Pakala (Taluka)",17,N
2,Andhra Pradesh,3,Chittoor,1020022,"Court of Junior Civil Judge,, Kuppam (Taluka)",15,N
2,Andhra Pradesh,3,Chittoor,1020023,Court of Senior Civil Judge Piler,"24,25",N
2,Andhra Pradesh,3,Chittoor,1020024,"Court of Senior Civil Judge,, Srikalahasti (Taluka)","26,27,29",N
2,Andhra Pradesh,3,Chittoor,1020025,"Prl District Courts, Chittoor","1,3,4,30",N
2,Andhra Pradesh,3,Chittoor,1020027,"Court of Junior Civil Judge,, Vayalpadu (Taluka)",16,N
2,Andhra Pradesh,3,Chittoor,1020028,"Court of Junior Civil Judge,, Nagari (Taluka)",8,N
2,Andhra Pradesh,3,Chittoor,1020030,"Court of Junior Civil Judge,, Satyavedu (Taluka)",21,N
2,Andhra Pradesh,3,Chittoor,1020031,"Court of Junior Civil Judge,, Palamaner (Taluka)",9,N
2,Andhra Pradesh,3,Chittoor,1020032,"XI Additional District Court, Piler",23,N
2,Andhra Pradesh,3,Chittoor,1020033,"Court of Junior Civil Judge,, Thamballapalle (Taluka)",12,N
2,Andhra Pradesh,3,Chittoor,1020034,"Senior Civil Court, Palamaner",22,N
2,Andhra Pradesh,3,Chittoor,1020035,"VI Junior Civil Court, Tirupathi",28,N
2,Andhra Pradesh,3,Chittoor,1020036,"Court of Prl. Junior Civil Judge,, Punganur (Taluka)",13,N
2,Andhra Pradesh,4,East Godavari,1020038,"PDJ Court Complex ,Rajahmundry","1,2",N
2,Andhra Pradesh,4,East Godavari,1020039,JFCM Addateegala,32,N
2,Andhra Pradesh,4,East Godavari,1020040,III Addl District Court Kakinada,"3,4,5,38",N
2,Andhra Pradesh,4,East Godavari,1020041,II Addl District Court Amalapuram,"6,7,8",N
2,Andhra Pradesh,4,East Godavari,1020042,"Court of Senior Civil Judge,, Razole (Taluka)","16,17",N
2,Andhra Pradesh,4,East Godavari,1020043,"Senior Civil Courts,  Pithapuram","20,21,22",N
2,Andhra Pradesh,4,East Godavari,1020044,III AJFCM Rajamahendravaram,"31,36",N
2,Andhra Pradesh,4,East Godavari,1020047,"Court of Senior Civil Judge, Ramachandrapuram","23,25,37",N
2,Andhra Pradesh,4,East Godavari,1020048,"Court of Senior Civil Judge,, Peddapuram (Taluka)","18,19,34",N
2,Andhra Pradesh,4,East Godavari,1020049,"Court of Prl. Junior Civil Judge,, Kothapet (Taluka)","9,10",N
2,Andhra Pradesh,4,East Godavari,1020050,"Court of Junior Civil Judge,, Tuni (Taluka)",15,N
2,Andhra Pradesh,4,East Godavari,1020051,"Court of Junior Civil Judge,, Mummidivaram (Taluka)",13,N
2,Andhra Pradesh,4,East Godavari,1020052,"Court of Junior Civil Judge, Anaparthy (Taluka)",12,N
2,Andhra Pradesh,4,East Godavari,1020053,"Court of Junior Civil Judge,, Alamuru (Taluka)",11,N
2,Andhra Pradesh,4,East Godavari,1020054,"Court of Judicial Magistrate of First Class, Rampachodavaram (Taluka)",14,N
2,Andhra Pradesh,4,East Godavari,1020055,Spl JFCM Kakinada,33,N
2,Andhra Pradesh,4,East Godavari,1020056,"Court of Addl. Junior Civil Judge (new), Tuni (Taluka)",27,N
2,Andhra Pradesh,4,East Godavari,1020057,"Munsif Magistrate Courts,Rajamundry",29,N
2,Andhra Pradesh,4,East Godavari,1020058,"Junior Civil Courts, Prathipadu","26,28",N
2,Andhra Pradesh,4,East Godavari,1020203,ACB Court at Rajamahedravaram,35,N
2,Andhra Pradesh,5,Guntur,1020059,"Court of Junior Civil Judge, Piduguralla (Taluka)",10,N
2,Andhra Pradesh,5,Guntur,1020060,"II Addl JCJ Court, Sattenapalli","37,38",N
