Id,URL,Host,Path,Status,Status Code,Method,Content Type,Client Name,Client Address,Remote Address,Request Start Time,Request End Time,Request Duration (ms),Response Start Time,Response End Time,Response Duration (ms),Duration (ms),Time Complete,Request Body Size (bytes),Response Body Size (bytes),Compressed Request Size (bytes),Compressed Response Size (bytes),Comment,Server IP Address,Server Certificate - Common Name,Server Certificate - DNSs,GraphQL Query Name
80,https://app.ecourts.gov.in,app.ecourts.gov.in,,Internalerror,999,CONNECT,,192.168.0.106,192.168.0.106:52769,app.ecourts.gov.in - ,22:11:46.968,22:11:47.093,125,22:11:47.093,22:11:47.093,0,125,22:11:47.093,0,0,0,0,,app.ecourts.gov.in - ,,,
81,https://app.ecourts.gov.in,app.ecourts.gov.in,,Internalerror,999,CONNECT,,192.168.0.106,192.168.0.106:52768,app.ecourts.gov.in - ,22:11:46.968,22:11:47.117,149,22:11:47.117,22:11:47.117,0,149,22:11:47.117,0,0,0,0,,app.ecourts.gov.in - ,,,
82,https://app.ecourts.gov.in,app.ecourts.gov.in,,Internalerror,999,CONNECT,,192.168.0.106,192.168.0.106:52770,app.ecourts.gov.in - ,22:11:47.191,22:11:47.291,101,22:11:47.291,22:11:47.291,0,101,22:11:47.291,0,0,0,0,,app.ecourts.gov.in - ,,,
83,https://app.ecourts.gov.in,app.ecourts.gov.in,,Internalerror,999,CONNECT,,192.168.0.106,192.168.0.106:52771,app.ecourts.gov.in - ,22:11:47.195,22:11:47.292,98,22:11:47.292,22:11:47.292,0,98,22:11:47.292,0,0,0,0,,app.ecourts.gov.in - ,,,
84,https://app.ecourts.gov.in,app.ecourts.gov.in,,Internalerror,999,CONNECT,,192.168.0.106,192.168.0.106:52773,app.ecourts.gov.in - ,22:11:47.313,22:11:47.418,105,22:11:47.418,22:11:47.418,0,105,22:11:47.418,0,0,0,0,,app.ecourts.gov.in - ,,,
85,https://app.ecourts.gov.in,app.ecourts.gov.in,,Internalerror,999,CONNECT,,192.168.0.106,192.168.0.106:52772,app.ecourts.gov.in - ,22:11:47.313,22:11:47.422,109,22:11:47.422,22:11:47.422,0,109,22:11:47.422,0,0,0,0,,app.ecourts.gov.in - ,,,
86,https://app.ecourts.gov.in,app.ecourts.gov.in,,Internalerror,999,CONNECT,,192.168.0.106,192.168.0.106:52774,app.ecourts.gov.in - ,22:11:49.837,22:11:50.063,227,22:11:50.063,22:11:50.063,0,227,22:11:50.063,0,0,0,0,,app.ecourts.gov.in - ,,,
87,https://app.ecourts.gov.in,app.ecourts.gov.in,,Internalerror,999,CONNECT,,192.168.0.106,192.168.0.106:52775,app.ecourts.gov.in - ,22:11:50.084,22:11:50.187,103,22:11:50.187,22:11:50.187,0,103,22:11:50.187,0,0,0,0,,app.ecourts.gov.in - ,,,
88,https://app.ecourts.gov.in,app.ecourts.gov.in,,Internalerror,999,CONNECT,,192.168.0.106,192.168.0.106:52776,app.ecourts.gov.in - ,22:11:50.205,22:11:50.343,138,22:11:50.343,22:11:50.343,0,138,22:11:50.343,0,0,0,0,,app.ecourts.gov.in - ,,,
215,https://app.ecourts.gov.in/ecourt_mobile_encrypted_DC/getAllLabelsWebService.php?language_flag=OYXI%2FPbEQ5UvCTNs18Z8ug%3D%3D&bilingual_flag=%2Bb82aw%2FFHEpfVc9p01n6zw%3D%3D,app.ecourts.gov.in,/ecourt_mobile_encrypted_DC/getAllLabelsWebService.php,Completed,200,GET,text/html; charset=UTF-8,192.168.0.106,192.168.0.106:52792,app.ecourts.gov.in - 103.195.217.42:443,22:16:43.345,22:16:43.428,83,22:16:43.525,22:16:43.640,114,295,22:16:43.640,0,40092,0,0,,app.ecourts.gov.in - 103.195.217.42:443,ecourts.gov.in,ecourts.gov.in; services.ecourts.gov.in; hcservices.ecourts.gov.in; digital.ecourts.gov.in; app.ecourts.gov.in; umang.ecourts.gov.in; justiceclock.ecourts.gov.in; justis.ecourts.gov.in; judgments.ecourts.gov.in; esign.ecourts.gov.in; api.ecourts.gov.in; filing.ecourts.gov.in; intraapi.ecourts.gov.in; nstep.ecourts.gov.in; pay.ecourts.gov.in; faster.ecourts.gov.in; njdg.ecourts.gov.in; njdgintra.ecourts.gov.in; csc.ecourts.gov.in,
