Id,URL,Host,Path,Status,Status Code,Method,Content Type,Client Name,Client Address,Remote Address,Request Start Time,Request End Time,Request Duration (ms),Response Start Time,Response End Time,Response Duration (ms),Duration (ms),Time Complete,Request Body Size (bytes),Response Body Size (bytes),Compressed Request Size (bytes),Compressed Response Size (bytes),Comment,Server IP Address,Server Certificate - Common Name,Server Certificate - DNSs,GraphQL Query Name
177,https://app.ecourts.gov.in/ecourt_mobile_DC/appReleaseWebService.php?params=a705f4f63b82c24747qPE%2FFpOwcPJjKVjd%2FuSgN3RxPO8Ykz8CU47k4f8z0qkFwkpn0Cp3f3%2F1drsdqVSC2ZuUTCxp8GMZTexZutqkNee9zgJ1QX%2BNQZaaTcJIkU%3D,app.ecourts.gov.in,/ecourt_mobile_DC/appReleaseWebService.php,Completed,200,GET,text/html; charset=UTF-8,192.168.0.103,192.168.0.103:55432,app.ecourts.gov.in - 103.195.217.42:443,01:58:59.537,01:58:59.615,79,01:58:59.804,01:58:59.805,0,268,01:58:59.805,0,1188,0,0,,app.ecourts.gov.in - 103.195.217.42:443,ecourts.gov.in,ecourts.gov.in; services.ecourts.gov.in; hcservices.ecourts.gov.in; digital.ecourts.gov.in; app.ecourts.gov.in; umang.ecourts.gov.in; justiceclock.ecourts.gov.in; justis.ecourts.gov.in; judgments.ecourts.gov.in; esign.ecourts.gov.in; api.ecourts.gov.in; filing.ecourts.gov.in; intraapi.ecourts.gov.in; nstep.ecourts.gov.in; pay.ecourts.gov.in; faster.ecourts.gov.in; njdg.ecourts.gov.in; njdgintra.ecourts.gov.in; csc.ecourts.gov.in,
179,https://app.ecourts.gov.in/ecourt_mobile_DC/stateWebService.php?params=a19d6e8de403506e0F0DdCGhQTGsDL2K9w2VXNbGEM1ZzEHFM%2BRjKYB1BGbA%2F7Gf%2F8kQdhBuJQwKAHBmI6na0Yn8iogrqN871VUNVqg%3D%3D,app.ecourts.gov.in,/ecourt_mobile_DC/stateWebService.php,Completed,200,GET,text/html; charset=UTF-8,192.168.0.103,192.168.0.103:55432,app.ecourts.gov.in - 103.195.217.42:443,01:58:59.852,01:58:59.852,0,01:58:59.905,01:58:59.940,35,88,01:58:59.940,0,26658,0,0,,app.ecourts.gov.in - 103.195.217.42:443,ecourts.gov.in,ecourts.gov.in; services.ecourts.gov.in; hcservices.ecourts.gov.in; digital.ecourts.gov.in; app.ecourts.gov.in; umang.ecourts.gov.in; justiceclock.ecourts.gov.in; justis.ecourts.gov.in; judgments.ecourts.gov.in; esign.ecourts.gov.in; api.ecourts.gov.in; filing.ecourts.gov.in; intraapi.ecourts.gov.in; nstep.ecourts.gov.in; pay.ecourts.gov.in; faster.ecourts.gov.in; njdg.ecourts.gov.in; njdgintra.ecourts.gov.in; csc.ecourts.gov.in,
180,https://app.ecourts.gov.in/ecourt_mobile_DC/getAllLabelsWebService.php?params=84a7b0354cec533811fVkCVcPcO0uswAEOywzkjsEslGEVloTpII53BNd503MPhbQMLCucWb7H7mwf%2BvGUpECPMpOlb%2F3LbcFp2ks2w%3D%3D,app.ecourts.gov.in,/ecourt_mobile_DC/getAllLabelsWebService.php,Completed,200,GET,text/html; charset=UTF-8,192.168.0.103,192.168.0.103:55434,app.ecourts.gov.in - 103.195.217.42:443,01:58:59.968,01:59:00.045,77,01:59:00.345,01:59:00.379,34,411,01:59:00.379,0,39506,0,0,,app.ecourts.gov.in - 103.195.217.42:443,ecourts.gov.in,ecourts.gov.in; services.ecourts.gov.in; hcservices.ecourts.gov.in; digital.ecourts.gov.in; app.ecourts.gov.in; umang.ecourts.gov.in; justiceclock.ecourts.gov.in; justis.ecourts.gov.in; judgments.ecourts.gov.in; esign.ecourts.gov.in; api.ecourts.gov.in; filing.ecourts.gov.in; intraapi.ecourts.gov.in; nstep.ecourts.gov.in; pay.ecourts.gov.in; faster.ecourts.gov.in; njdg.ecourts.gov.in; njdgintra.ecourts.gov.in; csc.ecourts.gov.in,
181,https://app.ecourts.gov.in/ecourt_mobile_DC/districtWebService.php?params=dacef457c6e45b464T3sIvaTSLyP%2BW2%2FLhWy6X9UgfJDomLs3s0pWA8oCDwPl6QD1Tdig66K%2BXskRJwMM,app.ecourts.gov.in,/ecourt_mobile_DC/districtWebService.php,Completed,200,GET,text/html; charset=UTF-8,192.168.0.103,192.168.0.103:55432,app.ecourts.gov.in - 103.195.217.42:443,01:59:00.019,01:59:00.019,0,01:59:00.160,01:59:00.160,0,141,01:59:00.160,0,7248,0,0,,app.ecourts.gov.in - 103.195.217.42:443,ecourts.gov.in,ecourts.gov.in; services.ecourts.gov.in; hcservices.ecourts.gov.in; digital.ecourts.gov.in; app.ecourts.gov.in; umang.ecourts.gov.in; justiceclock.ecourts.gov.in; justis.ecourts.gov.in; judgments.ecourts.gov.in; esign.ecourts.gov.in; api.ecourts.gov.in; filing.ecourts.gov.in; intraapi.ecourts.gov.in; nstep.ecourts.gov.in; pay.ecourts.gov.in; faster.ecourts.gov.in; njdg.ecourts.gov.in; njdgintra.ecourts.gov.in; csc.ecourts.gov.in,
182,https://app.ecourts.gov.in/ecourt_mobile_DC/courtEstWebService.php?params=c2f34d38699f4d791pjOWmHGbA4%2BH4TtqzhCsxSCwrDEI69I0kjiHizJ8xK%2Bm3J5AiYTSYcaZT%2Fn4Z6wKRGxrtczM9Ni%2FZAI3b%2FAr%2Fm7S1jwmpTaA0odLuFE2mGI%3D,app.ecourts.gov.in,/ecourt_mobile_DC/courtEstWebService.php,Completed,200,GET,text/html; charset=UTF-8,192.168.0.103,192.168.0.103:55432,app.ecourts.gov.in - 103.195.217.42:443,01:59:00.208,01:59:00.208,0,01:59:00.329,01:59:00.329,0,121,01:59:00.329,0,12898,0,0,,app.ecourts.gov.in - 103.195.217.42:443,ecourts.gov.in,ecourts.gov.in; services.ecourts.gov.in; hcservices.ecourts.gov.in; digital.ecourts.gov.in; app.ecourts.gov.in; umang.ecourts.gov.in; justiceclock.ecourts.gov.in; justis.ecourts.gov.in; judgments.ecourts.gov.in; esign.ecourts.gov.in; api.ecourts.gov.in; filing.ecourts.gov.in; intraapi.ecourts.gov.in; nstep.ecourts.gov.in; pay.ecourts.gov.in; faster.ecourts.gov.in; njdg.ecourts.gov.in; njdgintra.ecourts.gov.in; csc.ecourts.gov.in,
183,https://app.ecourts.gov.in/ecourt_mobile_DC/courtNameWebService.php?params=4a1066dece7849c11QfLh05eO7tUWg41azOCsr%2BhegdW2Of%2FJxHI%2FCGYacznbOxTKrenT1NBVbizeCCueLMFOOc5GSwTbj8%2BtKPVcd%2B86eqXFOu8isrgGskib7wVWevwcxR%2FD2jGEG23j7HUGFEWPtewV7VXmQxl%2FPpATWw%3D%3D,app.ecourts.gov.in,/ecourt_mobile_DC/courtNameWebService.php,Completed,200,GET,text/html; charset=UTF-8,192.168.0.103,192.168.0.103:55436,app.ecourts.gov.in - 103.195.217.42:443,01:59:00.266,01:59:00.348,82,01:59:00.441,01:59:00.441,0,175,01:59:00.441,0,462,0,0,,app.ecourts.gov.in - 103.195.217.42:443,ecourts.gov.in,ecourts.gov.in; services.ecourts.gov.in; hcservices.ecourts.gov.in; digital.ecourts.gov.in; app.ecourts.gov.in; umang.ecourts.gov.in; justiceclock.ecourts.gov.in; justis.ecourts.gov.in; judgments.ecourts.gov.in; esign.ecourts.gov.in; api.ecourts.gov.in; filing.ecourts.gov.in; intraapi.ecourts.gov.in; nstep.ecourts.gov.in; pay.ecourts.gov.in; faster.ecourts.gov.in; njdg.ecourts.gov.in; njdgintra.ecourts.gov.in; csc.ecourts.gov.in,
189,https://app.ecourts.gov.in/ecourt_mobile_DC/caseNumberWebService.php?params=60676d124aebe22b2mAdGHdUSeyjMFBDcKUqs4QiiEKo9Ths3bdzJgl9ImQZX8C1CcGACN0hhBh89Bv5Ie7DmY1d%2BKvrOy9oppwE%2BWyWXgZJ0KxIrSQHeR56x5how%2BYmO%2Bn%2FrvAj70kjYFrBkAre9GkmiWLiOI3pgbtGbBA%3D%3D,app.ecourts.gov.in,/ecourt_mobile_DC/caseNumberWebService.php,Completed,200,GET,application/json,192.168.0.103,192.168.0.103:55438,app.ecourts.gov.in - 103.195.217.42:443,01:59:21.464,01:59:21.543,79,01:59:21.606,01:59:21.606,0,141,01:59:21.606,0,3130,0,0,,app.ecourts.gov.in - 103.195.217.42:443,ecourts.gov.in,ecourts.gov.in; services.ecourts.gov.in; hcservices.ecourts.gov.in; digital.ecourts.gov.in; app.ecourts.gov.in; umang.ecourts.gov.in; justiceclock.ecourts.gov.in; justis.ecourts.gov.in; judgments.ecourts.gov.in; esign.ecourts.gov.in; api.ecourts.gov.in; filing.ecourts.gov.in; intraapi.ecourts.gov.in; nstep.ecourts.gov.in; pay.ecourts.gov.in; faster.ecourts.gov.in; njdg.ecourts.gov.in; njdgintra.ecourts.gov.in; csc.ecourts.gov.in,
190,https://app.ecourts.gov.in/ecourt_mobile_DC/searchByCaseType.php?params=c73ee77479dae2971mjuG0ihikqj2MokB4lsbAw07RDJZVa%2FBhTbqhc94M1D3lKw63XyiZlHqLk9BBmAYFf4vL1LHTohCUZ%2F7bsxYG8YSvnMsLYsitY6truERAawKd4l3wzmc2H1cr%2FiMohQrFjecAvhc2aqJHnpjdYyYHu99NUbArX8joW4NydZkAcCN4UtelIMdDyGXV%2BTEbT6DqGzjhd4C8hcs1OtUkq22ZlhbMqy8NKjN1ZGRNOnYTes%3D,app.ecourts.gov.in,/ecourt_mobile_DC/searchByCaseType.php,Internalerror,999,GET,,192.168.0.103,192.168.0.103:55438,app.ecourts.gov.in - 103.195.217.42:443,01:59:28.853,01:59:28.854,1,01:59:28.854,01:59:28.854,0,1,01:59:28.854,0,0,0,0,,app.ecourts.gov.in - 103.195.217.42:443,ecourts.gov.in,ecourts.gov.in; services.ecourts.gov.in; hcservices.ecourts.gov.in; digital.ecourts.gov.in; app.ecourts.gov.in; umang.ecourts.gov.in; justiceclock.ecourts.gov.in; justis.ecourts.gov.in; judgments.ecourts.gov.in; esign.ecourts.gov.in; api.ecourts.gov.in; filing.ecourts.gov.in; intraapi.ecourts.gov.in; nstep.ecourts.gov.in; pay.ecourts.gov.in; faster.ecourts.gov.in; njdg.ecourts.gov.in; njdgintra.ecourts.gov.in; csc.ecourts.gov.in,
191,https://app.ecourts.gov.in/ecourt_mobile_DC/searchByCaseType.php?params=c73ee77479dae2971mjuG0ihikqj2MokB4lsbAw07RDJZVa%2FBhTbqhc94M1D3lKw63XyiZlHqLk9BBmAYFf4vL1LHTohCUZ%2F7bsxYG8YSvnMsLYsitY6truERAawKd4l3wzmc2H1cr%2FiMohQrFjecAvhc2aqJHnpjdYyYHu99NUbArX8joW4NydZkAcCN4UtelIMdDyGXV%2BTEbT6DqGzjhd4C8hcs1OtUkq22ZlhbMqy8NKjN1ZGRNOnYTes%3D,app.ecourts.gov.in,/ecourt_mobile_DC/searchByCaseType.php,Completed,200,GET,application/json,192.168.0.103,192.168.0.103:55440,app.ecourts.gov.in - 103.195.217.42:443,01:59:28.881,01:59:28.958,76,01:59:29.504,01:59:30.007,503,1125,01:59:30.007,0,186144,0,0,,app.ecourts.gov.in - 103.195.217.42:443,ecourts.gov.in,ecourts.gov.in; services.ecourts.gov.in; hcservices.ecourts.gov.in; digital.ecourts.gov.in; app.ecourts.gov.in; umang.ecourts.gov.in; justiceclock.ecourts.gov.in; justis.ecourts.gov.in; judgments.ecourts.gov.in; esign.ecourts.gov.in; api.ecourts.gov.in; filing.ecourts.gov.in; intraapi.ecourts.gov.in; nstep.ecourts.gov.in; pay.ecourts.gov.in; faster.ecourts.gov.in; njdg.ecourts.gov.in; njdgintra.ecourts.gov.in; csc.ecourts.gov.in,
193,https://app.ecourts.gov.in/ecourt_mobile_DC/caseHistoryWebService.php?params=c51284740281448b4B0ONals4Sxsorsvbpl7U6RTw8rs9Ce%2FHakrjL3AnApOdJ2utHdZTHPe649bMu0X8zz%2FO2ezKnadSE0vkhlPuGRtK%2ByhQ2X9jkcAHjl8byrV42r0muJiLrChi0tGu1r8Tcnrnk8qat6tFPUi6dU9EldvnxOKYhGiDZt4FUrnH0tSuQmg0dLG%2F3GwPFjfwuJfK,app.ecourts.gov.in,/ecourt_mobile_DC/caseHistoryWebService.php,Completed,200,GET,application/json,192.168.0.103,192.168.0.103:55440,app.ecourts.gov.in - 103.195.217.42:443,01:59:33.050,01:59:33.051,0,01:59:33.224,01:59:33.225,1,175,01:59:33.225,0,9406,0,0,,app.ecourts.gov.in - 103.195.217.42:443,ecourts.gov.in,ecourts.gov.in; services.ecourts.gov.in; hcservices.ecourts.gov.in; digital.ecourts.gov.in; app.ecourts.gov.in; umang.ecourts.gov.in; justiceclock.ecourts.gov.in; justis.ecourts.gov.in; judgments.ecourts.gov.in; esign.ecourts.gov.in; api.ecourts.gov.in; filing.ecourts.gov.in; intraapi.ecourts.gov.in; nstep.ecourts.gov.in; pay.ecourts.gov.in; faster.ecourts.gov.in; njdg.ecourts.gov.in; njdgintra.ecourts.gov.in; csc.ecourts.gov.in,
